*Entry*,Sample Folder: Spanish,he,el,
*Entry*,Sample Folder: Spanish,live,vivir,
*Entry*,Sample Folder: Spanish,they,ellos,
*Entry*,Sample Folder: Spanish,where,donde,
*Entry*,Sample Folder: Spanish,animal,animal,
*Entry*,Sample Folder: Spanish,bird,pajaro,
*Entry*,Sample Folder: Spanish,cold,frio,
*Entry*,Sample Folder: Spanish,(to)fall,caerse,
*Entry*,Sample Folder: Spanish,(to) look,mirar,
*Entry*,Sample Folder: Spanish,once,una vez,
*Entry*,Sample Folder: Spanish,three,tres,
*Entry*,Sample Folder: Spanish,two,dos,
*Entry*,Sample Folder: Spanish,what,que,
*Entry*,Sample Folder: Spanish,do,hacer,
*Entry*,Sample Folder: Spanish,I,yo,
*Entry*,Sample Folder: Spanish,is,es,
*Entry*,Sample Folder: Spanish,me,mi,
*Entry*,Sample Folder: Spanish,my,mio,
*Entry*,Sample Folder: Spanish,said,dijo,
*Entry*,Sample Folder: Spanish,are,son,
*Entry*,Sample Folder: Spanish,of,de,
*Entry*,Sample Folder: Spanish,(to)see,ver,
*Entry*,Sample Folder: Spanish,all,todo-a,
*Entry*,Sample Folder: Spanish,(to)call,llamar,
*Entry*,Sample Folder: Spanish,(to)eat,comer,
*Entry*,Sample Folder: Spanish,every,cada,
*Entry*,Sample Folder: Spanish,first,primer,
*Entry*,Sample Folder: Spanish,never,nunca,
*Entry*,Sample Folder: Spanish,paper,papel,
*Entry*,Sample Folder: Spanish,I shall go.,yo ire.,
*Entry*,Sample Folder: Spanish,why,porque,
*Entry*,Sample Folder: Spanish,also,tambien,
*Entry*,Sample Folder: Spanish,blue,azul,
*Entry*,Sample Folder: Spanish,brown,cafe,
*Entry*,Sample Folder: Spanish,color,color,
*Entry*,Sample Folder: Spanish,funny,divertido,
*Entry*,Sample Folder: Spanish2,green,verde,
*Entry*,Sample Folder: Spanish2,(to)like,gustar,
*Entry*,Sample Folder: Spanish2,many,muchas,
*Entry*,Sample Folder: Spanish2,some,algunos,
*Entry*,Sample Folder: Spanish2,go,ir,
*Entry*,Sample Folder: Spanish2,and,y,
*Entry*,Sample Folder: Spanish2,here,aqui,
*Entry*,Sample Folder: Spanish3,too,tambien,
*Entry*,Sample Folder: Spanish3,we,nosotros,
*Entry*,Sample Folder: Spanish3,(to)find,encontrar,
*Entry*,Sample Folder: Spanish3,have,tener,
*Entry*,Sample Folder: Spanish3,one,uno-a,
*Entry*,Sample Folder: Spanish3,to,a,
*Entry*,Sample Folder: Spanish4,who,quien,
*Entry*,Sample Folder: Spanish4,five,cinco,
*Entry*,Sample Folder: Spanish4,four,cuatro,
